[2023-02-05 20:01:09,761] {/home/amin/Desktop/HW12/logic.py:32} 8795-ERROR-could not create user
[2023-02-05 20:01:09,761] {/home/amin/Desktop/HW12/logic.py:32} 8795-ERROR-could not create user
[2023-02-05 20:01:51,163] {/home/amin/Desktop/HW12/logic.py:136} 8849-ERROR-could not authenticate
[2023-02-05 20:01:51,163] {/home/amin/Desktop/HW12/logic.py:91} 8849-ERROR-could not deposit
[2023-02-05 20:01:51,164] {/home/amin/Desktop/HW12/logic.py:114} 8849-ERROR-invalid amount for transaction
[2023-02-05 20:01:51,164] {/home/amin/Desktop/HW12/logic.py:106} 8849-INFO-withdrawl was successful
[2023-02-05 20:01:51,164] {/home/amin/Desktop/HW12/logic.py:40} 8849-ERROR-could not authenticate
[2023-02-05 20:01:51,165] {/home/amin/Desktop/HW12/logic.py:29} 8849-INFO-user was created
[2023-02-05 20:01:51,165] {/home/amin/Desktop/HW12/logic.py:32} 8849-ERROR-could not create user
[2023-02-05 20:01:51,165] {/home/amin/Desktop/HW12/logic.py:32} 8849-ERROR-could not create user
[2023-02-05 20:01:51,165] {/home/amin/Desktop/HW12/logic.py:32} 8849-ERROR-could not create user
[2023-02-05 20:05:54,884] {/home/amin/Desktop/HW12/logic.py:40} 9032-ERROR-could not authenticate
[2023-02-05 20:05:54,885] {/home/amin/Desktop/HW12/logic.py:29} 9032-INFO-user was created
[2023-02-05 20:05:54,885] {/home/amin/Desktop/HW12/logic.py:32} 9032-ERROR-could not create user
[2023-02-05 20:05:54,885] {/home/amin/Desktop/HW12/logic.py:32} 9032-ERROR-could not create user
[2023-02-05 20:05:54,885] {/home/amin/Desktop/HW12/logic.py:32} 9032-ERROR-could not create user
[2023-02-05 20:06:31,624] {/home/amin/Desktop/HW12/logic.py:40} 9122-ERROR-could not authenticate
[2023-02-05 20:06:31,624] {/home/amin/Desktop/HW12/logic.py:29} 9122-INFO-user was created
[2023-02-05 20:06:31,624] {/home/amin/Desktop/HW12/logic.py:32} 9122-ERROR-could not create user
[2023-02-05 20:06:31,624] {/home/amin/Desktop/HW12/logic.py:32} 9122-ERROR-could not create user
[2023-02-05 20:06:31,624] {/home/amin/Desktop/HW12/logic.py:32} 9122-ERROR-could not create user
[2023-02-05 20:07:01,194] {/home/amin/Desktop/HW12/logic.py:40} 9186-ERROR-could not authenticate
[2023-02-05 20:07:01,195] {/home/amin/Desktop/HW12/logic.py:29} 9186-INFO-user was created
[2023-02-05 20:07:01,195] {/home/amin/Desktop/HW12/logic.py:32} 9186-ERROR-could not create user
[2023-02-05 20:07:01,195] {/home/amin/Desktop/HW12/logic.py:32} 9186-ERROR-could not create user
[2023-02-05 20:07:01,195] {/home/amin/Desktop/HW12/logic.py:32} 9186-ERROR-could not create user
[2023-02-05 20:08:27,807] {/home/amin/Desktop/HW12/logic.py:40} 9263-ERROR-could not authenticate
[2023-02-05 20:08:27,808] {/home/amin/Desktop/HW12/logic.py:29} 9263-INFO-user was created
[2023-02-05 20:08:27,808] {/home/amin/Desktop/HW12/logic.py:32} 9263-ERROR-could not create user
[2023-02-05 20:08:27,808] {/home/amin/Desktop/HW12/logic.py:32} 9263-ERROR-could not create user
[2023-02-05 20:08:27,808] {/home/amin/Desktop/HW12/logic.py:32} 9263-ERROR-could not create user
[2023-02-05 20:08:43,988] {/home/amin/Desktop/HW12/logic.py:40} 9318-ERROR-could not authenticate
[2023-02-05 20:08:43,988] {/home/amin/Desktop/HW12/logic.py:29} 9318-INFO-user was created
[2023-02-05 20:08:43,989] {/home/amin/Desktop/HW12/logic.py:32} 9318-ERROR-could not create user
[2023-02-05 20:08:43,989] {/home/amin/Desktop/HW12/logic.py:32} 9318-ERROR-could not create user
[2023-02-05 20:08:43,989] {/home/amin/Desktop/HW12/logic.py:32} 9318-ERROR-could not create user
[2023-02-05 20:15:18,679] {/home/amin/Desktop/HW12/logic.py:40} 9608-ERROR-could not authenticate
[2023-02-05 20:15:18,680] {/home/amin/Desktop/HW12/logic.py:29} 9608-INFO-user was created
[2023-02-05 20:15:18,680] {/home/amin/Desktop/HW12/logic.py:32} 9608-ERROR-could not create user
[2023-02-05 20:15:18,680] {/home/amin/Desktop/HW12/logic.py:32} 9608-ERROR-could not create user
[2023-02-05 20:15:18,680] {/home/amin/Desktop/HW12/logic.py:32} 9608-ERROR-could not create user
[2023-02-05 20:15:58,502] {/home/amin/Desktop/HW12/logic.py:136} 9661-ERROR-could not authenticate
[2023-02-05 20:15:58,502] {/home/amin/Desktop/HW12/logic.py:91} 9661-ERROR-could not deposit
[2023-02-05 20:15:58,503] {/home/amin/Desktop/HW12/logic.py:114} 9661-ERROR-invalid amount for transaction
[2023-02-05 20:15:58,503] {/home/amin/Desktop/HW12/logic.py:106} 9661-INFO-withdrawl was successful
[2023-02-05 20:15:58,503] {/home/amin/Desktop/HW12/logic.py:40} 9661-ERROR-could not authenticate
[2023-02-05 20:15:58,503] {/home/amin/Desktop/HW12/logic.py:29} 9661-INFO-user was created
[2023-02-05 20:15:58,504] {/home/amin/Desktop/HW12/logic.py:32} 9661-ERROR-could not create user
[2023-02-05 20:15:58,504] {/home/amin/Desktop/HW12/logic.py:32} 9661-ERROR-could not create user
[2023-02-05 20:15:58,504] {/home/amin/Desktop/HW12/logic.py:32} 9661-ERROR-could not create user
[2023-02-05 20:24:32,549] {/home/amin/Desktop/HW12/logic.py:40} 10910-ERROR-could not authenticate
[2023-02-05 20:24:32,550] {/home/amin/Desktop/HW12/logic.py:29} 10910-INFO-user was created
[2023-02-05 20:24:32,550] {/home/amin/Desktop/HW12/logic.py:32} 10910-ERROR-could not create user
[2023-02-05 20:24:32,550] {/home/amin/Desktop/HW12/logic.py:32} 10910-ERROR-could not create user
[2023-02-05 20:24:32,550] {/home/amin/Desktop/HW12/logic.py:32} 10910-ERROR-could not create user
[2023-02-05 20:25:42,028] {/home/amin/Desktop/HW12/logic.py:189} 11069-INFO-user Welcome test, your unique id is 1d72f391-a465-4e16-95eb-8bdb0a167576 
your card status <<your balance is 30000 and will expire by 2023-03-07 20:25:42.028175>> bought your balance is 30000 and will expire by 2023-03-07 20:25:42.028175
[2023-02-05 20:25:42,028] {/home/amin/Desktop/HW12/logic.py:157} 11069-INFO-user Welcome test, your unique id is 4538ce3d-2585-436e-b9ee-d67e88c1152f 
your card status <<your balance is 3000 and will expire by 2023-02-08 20:25:42.028466>> bought onetime trip
[2023-02-05 20:25:42,028] {/home/amin/Desktop/HW12/logic.py:213} 11069-INFO-new trip was created
[2023-02-05 20:25:42,028] {/home/amin/Desktop/HW12/logic.py:40} 11069-ERROR-could not authenticate
[2023-02-05 20:25:42,029] {/home/amin/Desktop/HW12/logic.py:29} 11069-INFO-user was created
[2023-02-05 20:25:42,029] {/home/amin/Desktop/HW12/logic.py:32} 11069-ERROR-could not create user
[2023-02-05 20:25:42,029] {/home/amin/Desktop/HW12/logic.py:32} 11069-ERROR-could not create user
[2023-02-05 20:25:42,029] {/home/amin/Desktop/HW12/logic.py:32} 11069-ERROR-could not create user
[2023-02-05 20:31:43,617] {/home/amin/Desktop/HW12/logic.py:189} 11349-INFO-user Welcome test, your unique id is 96b4b78a-8c67-4003-86cb-4e667777c9e7 
your card status <<your balance is 30000 and will expire by 2023-03-07 20:31:43.617215>> bought your balance is 30000 and will expire by 2023-03-07 20:31:43.617215
[2023-02-05 20:31:43,617] {/home/amin/Desktop/HW12/logic.py:157} 11349-INFO-user Welcome test, your unique id is 8788645c-cc7e-442d-835d-6fd79a79c8ef 
your card status <<your balance is 3000 and will expire by 2023-02-08 20:31:43.617520>> bought onetime trip
[2023-02-05 20:31:43,617] {/home/amin/Desktop/HW12/logic.py:189} 11349-INFO-user Welcome test, your unique id is 920f0eea-bf10-4121-9a0d-36cc6cde1913 
your card status <<your balance is 30000 and will expire by 2023-03-07 20:31:43.617719>> bought your balance is 30000 and will expire by 2023-03-07 20:31:43.617719
[2023-02-05 20:31:43,618] {/home/amin/Desktop/HW12/logic.py:189} 11349-INFO-user Welcome test, your unique id is 3738df20-afc8-43f2-aa14-df8fef53143c 
your card status <<your balance is 30000 and will expire by 2023-03-07 20:31:43.618120>> bought your balance is 30000 and will expire by 2023-03-07 20:31:43.618120
[2023-02-05 20:31:43,618] {/home/amin/Desktop/HW12/logic.py:213} 11349-INFO-new trip was created
[2023-02-05 20:31:43,618] {/home/amin/Desktop/HW12/logic.py:40} 11349-ERROR-could not authenticate
[2023-02-05 20:31:43,619] {/home/amin/Desktop/HW12/logic.py:29} 11349-INFO-user was created
[2023-02-05 20:31:43,619] {/home/amin/Desktop/HW12/logic.py:32} 11349-ERROR-could not create user
[2023-02-05 20:31:43,619] {/home/amin/Desktop/HW12/logic.py:32} 11349-ERROR-could not create user
[2023-02-05 20:31:43,619] {/home/amin/Desktop/HW12/logic.py:32} 11349-ERROR-could not create user
[2023-02-06 09:54:58,449] {/home/amin/Desktop/HW12/logic.py:189} 11142-INFO-user Welcome test, your unique id is af1940ba-056c-4a9e-9714-9ca3d4a8c5a6 
your card status <<your balance is 30000 and will expire by 2023-03-08 09:54:58.449287>> bought your balance is 30000 and will expire by 2023-03-08 09:54:58.449287
[2023-02-06 09:54:58,557] {/home/amin/Desktop/HW12/logic.py:157} 11142-INFO-user Welcome test, your unique id is 4b0dc05f-0c3a-48a1-a7a0-b2e1fd114d6d 
your card status <<your balance is 3000 and will expire by 2023-02-09 09:54:58.557443>> bought onetime trip
[2023-02-06 09:54:58,558] {/home/amin/Desktop/HW12/logic.py:189} 11142-INFO-user Welcome test, your unique id is bbb9ba4f-3391-4621-b293-af0c932d4d5f 
your card status <<your balance is 30000 and will expire by 2023-03-08 09:54:58.558539>> bought your balance is 30000 and will expire by 2023-03-08 09:54:58.558539
[2023-02-06 09:54:58,560] {/home/amin/Desktop/HW12/logic.py:189} 11142-INFO-user Welcome test, your unique id is 27d54c20-ef5a-499d-b07e-a6f6b30fcded 
your card status <<your balance is 30000 and will expire by 2023-03-08 09:54:58.560471>> bought your balance is 30000 and will expire by 2023-03-08 09:54:58.560471
[2023-02-06 09:54:58,560] {/home/amin/Desktop/HW12/logic.py:213} 11142-INFO-new trip was created
[2023-02-06 09:54:58,562] {/home/amin/Desktop/HW12/logic.py:40} 11142-ERROR-could not authenticate
[2023-02-06 09:54:58,564] {/home/amin/Desktop/HW12/logic.py:29} 11142-INFO-user was created
[2023-02-06 09:54:58,565] {/home/amin/Desktop/HW12/logic.py:32} 11142-ERROR-could not create user
[2023-02-06 09:54:58,565] {/home/amin/Desktop/HW12/logic.py:32} 11142-ERROR-could not create user
[2023-02-06 09:54:58,565] {/home/amin/Desktop/HW12/logic.py:32} 11142-ERROR-could not create user
[2023-02-06 10:07:31,038] {/home/amin/Desktop/HW12/logic.py:189} 12606-INFO-user Welcome test, your unique id is 24c254ea-1f52-429a-b4fb-7319ea0e3884 
your card status <<your balance is 30000 and will expire by 2023-03-08 10:07:31.038607>> bought your balance is 30000 and will expire by 2023-03-08 10:07:31.038607
[2023-02-06 10:07:31,038] {/home/amin/Desktop/HW12/logic.py:157} 12606-INFO-user Welcome test, your unique id is 12b2a18f-9c08-4221-8cdf-5d95a3303477 
your card status <<your balance is 3000 and will expire by 2023-02-09 10:07:31.038906>> bought onetime trip
[2023-02-06 10:07:31,039] {/home/amin/Desktop/HW12/logic.py:213} 12606-INFO-new trip was created
[2023-02-06 10:07:31,039] {/home/amin/Desktop/HW12/logic.py:189} 12606-INFO-user Welcome test, your unique id is be79a626-7970-45f3-9aa4-9d66ad1f9bba 
your card status <<your balance is 30000 and will expire by 2023-03-08 10:07:31.039175>> bought your balance is 30000 and will expire by 2023-03-08 10:07:31.039175
